split,rows,proteins,positive,negative
raw_positive_k_sites,208298,67708,208298,0
after_cdhit30_positive,61789,26942,61789,0
after_cdhit30_pdb_exact_positive,7728,1037,7728,0
all_balanced,15456,1037,7728,7728
train_80,12306,829,6153,6153
test_20,3150,208,1575,1575
fold_1_train,9976,663,4988,4988
fold_1_val,2330,166,1165,1165
fold_2_train,9494,663,4747,4747
fold_2_val,2812,166,1406,1406
fold_3_train,9926,663,4963,4963
fold_3_val,2380,166,1190,1190
fold_4_train,9936,663,4968,4968
fold_4_val,2370,166,1185,1185
fold_5_train,9892,664,4946,4946
fold_5_val,2414,165,1207,1207
