split,rows,proteins,positive,negative
raw_positive_k_sites,19782,6098,19782,0
after_cdhit30_positive,11474,4017,11474,0
after_cdhit30_pdb_exact_positive,5852,1408,5852,0
all_balanced,11704,1408,5852,5852
train_80,9546,1126,4773,4773
test_20,2158,282,1079,1079
fold_1_train,7792,900,3896,3896
fold_1_val,1754,226,877,877
fold_2_train,7648,901,3824,3824
fold_2_val,1898,225,949,949
fold_3_train,7468,901,3734,3734
fold_3_val,2078,225,1039,1039
fold_4_train,7710,901,3855,3855
fold_4_val,1836,225,918,918
fold_5_train,7566,901,3783,3783
fold_5_val,1980,225,990,990
