split,rows,proteins,positive,negative
raw_positive_k_sites,6679,3106,6679,0
after_cdhit30_positive,5122,2572,5122,0
after_cdhit30_pdb_exact_positive,1081,626,1081,0
all_balanced,2162,626,1081,1081
train_80,1718,500,859,859
test_20,444,126,222,222
fold_1_train,1380,400,690,690
fold_1_val,338,100,169,169
fold_2_train,1392,400,696,696
fold_2_val,326,100,163,163
fold_3_train,1396,400,698,698
fold_3_val,322,100,161,161
fold_4_train,1366,400,683,683
fold_4_val,352,100,176,176
fold_5_train,1338,400,669,669
fold_5_val,380,100,190,190
