split,rows,proteins,positive,negative
raw_positive_k_sites,29585,10533,29585,0
after_cdhit30_positive,9810,5018,9810,0
after_cdhit30_pdb_exact_positive,1118,583,1118,0
all_balanced,2236,583,1118,1118
train_80,1786,466,893,893
test_20,450,117,225,225
fold_1_train,1474,372,737,737
fold_1_val,312,94,156,156
fold_2_train,1400,373,700,700
fold_2_val,386,93,193,193
fold_3_train,1430,373,715,715
fold_3_val,356,93,178,178
fold_4_train,1426,373,713,713
fold_4_val,360,93,180,180
fold_5_train,1414,373,707,707
fold_5_val,372,93,186,186
