split,rows,proteins,positive,negative
raw_positive_k_sites,53483,9782,53483,0
after_cdhit30_positive,32923,6607,32923,0
after_cdhit30_pdb_exact_positive,11492,1543,11492,0
all_balanced,22984,1543,11492,11492
train_80,18622,1234,9311,9311
test_20,4362,309,2181,2181
fold_1_train,15004,987,7502,7502
fold_1_val,3618,247,1809,1809
fold_2_train,14998,987,7499,7499
fold_2_val,3624,247,1812,1812
fold_3_train,14968,987,7484,7484
fold_3_val,3654,247,1827,1827
fold_4_train,14598,987,7299,7299
fold_4_val,4024,247,2012,2012
fold_5_train,14920,988,7460,7460
fold_5_val,3702,246,1851,1851
