split,rows,proteins,positive,negative
raw_positive_k_sites,235888,45625,235888,0
after_cdhit30_positive,86169,19357,86169,0
after_cdhit30_pdb_exact_positive,18775,1257,18775,0
all_balanced,37550,1257,18775,18775
train_80,30388,1005,15194,15194
test_20,7162,252,3581,3581
fold_1_train,24352,804,12176,12176
fold_1_val,6036,201,3018,3018
fold_2_train,23982,804,11991,11991
fold_2_val,6406,201,3203,3203
fold_3_train,24654,804,12327,12327
fold_3_val,5734,201,2867,2867
fold_4_train,24574,804,12287,12287
fold_4_val,5814,201,2907,2907
fold_5_train,23990,804,11995,11995
fold_5_val,6398,201,3199,3199
