modification,raw_positive_sites,raw_positive_proteins,cdhit30_positive_sites,cdhit30_positive_proteins,pdb_exact_positive_sites,pdb_exact_positive_proteins,negative_candidates,train_rows,test_rows,output_dir
2-Hydroxyisobutyrylation,8921,2525,6924,2093,5294,1441,55657,8550,2038,/data/ranran/my_ptm/多位点/data/2-Hydroxyisobutyrylation
Acetylation,208298,67708,61789,26942,7728,1037,41223,12306,3150,/data/ranran/my_ptm/多位点/data/Acetylation
Crotonylation,19782,6098,11474,4017,5852,1408,53160,9546,2158,/data/ranran/my_ptm/多位点/data/Crotonylation
Glycation,6679,3106,5122,2572,1081,626,35082,1718,444,/data/ranran/my_ptm/多位点/data/Glycation
Malonylation,10154,3577,5104,2135,2057,811,34729,3366,748,/data/ranran/my_ptm/多位点/data/Malonylation
Methylation,10914,5361,7878,4027,1642,912,48824,2642,642,/data/ranran/my_ptm/多位点/data/Methylation
Succinylation,29585,10533,9810,5018,1118,583,26520,1786,450,/data/ranran/my_ptm/多位点/data/Succinylation
Sumoylation,53483,9782,32923,6607,11492,1543,57961,18622,4362,/data/ranran/my_ptm/多位点/data/Sumoylation
Ubiquitination,235888,45625,86169,19357,18775,1257,37598,30388,7162,/data/ranran/my_ptm/多位点/data/Ubiquitination
β-Hydroxybutyrylation,3504,1403,2979,1258,1546,629,30814,2484,608,/data/ranran/my_ptm/多位点/data/beta-Hydroxybutyrylation
