protein,outer_split,fold
A0FGR8,test,
A0MZ66,train,4.0
A1L0T0,train,4.0
A2A3N6,test,
A2AJT9,test,
A2RRP1,train,5.0
A2RTX5,train,2.0
A3KMH1,test,
A3KN83,train,4.0
A4D1E9,test,
A5D8V6,test,
A5PLN9,test,
A5YKK6,train,5.0
A6NCE7,train,3.0
A6NCI4,train,4.0
A6ND36,train,3.0
A6NDG6,train,4.0
A6NDU8,test,
A6NHX0,test,
A6NKD9,train,4.0
A6NKH3,train,3.0
A6NM62,test,
A8MWD9,train,1.0
A9UHW6,train,2.0
B5ME19,train,2.0
B7ZAQ6,test,
E9PAV3,train,5.0
O00116,train,1.0
O00151,train,5.0
O00161,train,5.0
O00193,train,5.0
O00203,train,5.0
O00217,train,3.0
O00220,train,5.0
O00231,test,
O00232,train,1.0
O00233,test,
O00244,train,3.0
O00267,train,1.0
O00303,train,3.0
O00330,test,
O00399,train,3.0
O00401,train,2.0
O00411,train,1.0
O00422,train,1.0
O00442,train,3.0
O00443,train,5.0
O00459,train,4.0
O00461,train,1.0
O00471,train,4.0
O00483,train,5.0
O00487,train,3.0
O00499,train,1.0
O00507,train,5.0
O00541,train,1.0
O00560,test,
O00566,train,1.0
O00567,train,1.0
O00571,train,2.0
O00592,train,2.0
O00625,train,3.0
O00762,train,3.0
O00763,train,3.0
O00764,train,1.0
O00767,train,5.0
O14497,test,
O14530,train,2.0
O14545,train,4.0
O14548,train,5.0
O14561,train,4.0
O14562,train,1.0
O14579,test,
O14602,test,
O14617,train,5.0
O14639,train,5.0
O14647,train,4.0
O14656,train,4.0
O14727,train,4.0
O14730,train,2.0
O14737,train,3.0
O14744,train,2.0
O14745,train,1.0
O14757,train,5.0
O14776,train,4.0
O14777,train,2.0
O14802,test,
O14874,train,1.0
O14880,train,5.0
O14904,train,2.0
O14907,train,4.0
O14908,test,
O14925,test,
O14936,train,3.0
O14950,train,5.0
O14964,train,4.0
O14974,train,4.0
O14975,train,5.0
O14979,test,
O14980,test,
O14981,train,1.0
O15020,train,2.0
O15031,train,3.0
O15042,train,3.0
O15066,train,2.0
O15067,test,
O15078,train,3.0
O15084,train,3.0
O15091,train,3.0
O15116,train,3.0
O15121,train,4.0
O15143,train,4.0
O15144,train,3.0
O15145,train,4.0
O15160,train,4.0
O15162,train,1.0
O15173,train,3.0
O15212,train,1.0
O15213,train,2.0
O15226,train,3.0
O15260,test,
O15269,train,4.0
O15270,test,
O15294,train,2.0
O15305,train,1.0
O15355,train,2.0
O15357,train,2.0
O15371,train,5.0
O15372,train,2.0
O15400,train,1.0
O15479,train,1.0
O15498,train,1.0
O15541,train,4.0
O15554,train,1.0
O43148,train,2.0
O43156,train,4.0
O43172,test,
O43175,train,4.0
O43181,train,4.0
O43242,train,2.0
O43252,train,4.0
O43264,train,2.0
O43290,test,
O43292,train,4.0
O43310,test,
O43314,train,2.0
O43318,train,1.0
O43324,train,1.0
O43345,train,3.0
O43347,test,
