rows,proteins,positive,negative,raw_positive_before_balance,raw_negative_before_balance,sampling_note,ptm,split
1988,283,994,994,994,997,downsampled_to_1_to_1_from_pos_994_neg_997,2-Hydroxyisobutyrylation,test
8594,1158,4297,4297,4300,4297,downsampled_to_1_to_1_from_pos_4300_neg_4297,2-Hydroxyisobutyrylation,train_80
6580,899,3290,3290,3353,3290,downsampled_to_1_to_1_from_pos_3353_neg_3290,2-Hydroxyisobutyrylation,fold_1_train
1894,258,947,947,947,1007,downsampled_to_1_to_1_from_pos_947_neg_1007,2-Hydroxyisobutyrylation,fold_1_val
6906,935,3453,3453,3453,3520,downsampled_to_1_to_1_from_pos_3453_neg_3520,2-Hydroxyisobutyrylation,fold_2_train
1554,222,777,777,847,777,downsampled_to_1_to_1_from_pos_847_neg_777,2-Hydroxyisobutyrylation,fold_2_val
7016,941,3508,3508,3508,3539,downsampled_to_1_to_1_from_pos_3508_neg_3539,2-Hydroxyisobutyrylation,fold_3_train
1516,217,758,758,792,758,downsampled_to_1_to_1_from_pos_792_neg_758,2-Hydroxyisobutyrylation,fold_3_val
6800,922,3400,3400,3406,3400,downsampled_to_1_to_1_from_pos_3406_neg_3400,2-Hydroxyisobutyrylation,fold_4_train
1788,236,894,894,894,897,downsampled_to_1_to_1_from_pos_894_neg_897,2-Hydroxyisobutyrylation,fold_4_val
6878,934,3439,3439,3480,3439,downsampled_to_1_to_1_from_pos_3480_neg_3439,2-Hydroxyisobutyrylation,fold_5_train
1640,224,820,820,820,858,downsampled_to_1_to_1_from_pos_820_neg_858,2-Hydroxyisobutyrylation,fold_5_val
2580,183,1290,1290,1316,1290,downsampled_to_1_to_1_from_pos_1316_neg_1290,Acetylation,test
12824,854,6412,6412,6412,6438,downsampled_to_1_to_1_from_pos_6412_neg_6438,Acetylation,train_80
9616,677,4808,4808,4808,4906,downsampled_to_1_to_1_from_pos_4808_neg_4906,Acetylation,fold_1_train
3064,177,1532,1532,1604,1532,downsampled_to_1_to_1_from_pos_1604_neg_1532,Acetylation,fold_1_val
10604,698,5302,5302,5407,5302,downsampled_to_1_to_1_from_pos_5407_neg_5302,Acetylation,fold_2_train
2010,155,1005,1005,1005,1136,downsampled_to_1_to_1_from_pos_1005_neg_1136,Acetylation,fold_2_val
10500,678,5250,5250,5318,5250,downsampled_to_1_to_1_from_pos_5318_neg_5250,Acetylation,fold_3_train
2188,176,1094,1094,1094,1188,downsampled_to_1_to_1_from_pos_1094_neg_1188,Acetylation,fold_3_val
10006,686,5003,5003,5003,5160,downsampled_to_1_to_1_from_pos_5003_neg_5160,Acetylation,fold_4_train
2556,168,1278,1278,1409,1278,downsampled_to_1_to_1_from_pos_1409_neg_1278,Acetylation,fold_4_val
10224,676,5112,5112,5112,5134,downsampled_to_1_to_1_from_pos_5112_neg_5134,Acetylation,fold_5_train
2600,178,1300,1300,1300,1304,downsampled_to_1_to_1_from_pos_1300_neg_1304,Acetylation,fold_5_val
554,118,277,277,297,277,downsampled_to_1_to_1_from_pos_297_neg_277,beta-Hydroxybutyrylation,test
2498,510,1249,1249,1249,1269,downsampled_to_1_to_1_from_pos_1249_neg_1269,beta-Hydroxybutyrylation,train_80
1956,403,978,978,978,986,downsampled_to_1_to_1_from_pos_978_neg_986,beta-Hydroxybutyrylation,fold_1_train
542,107,271,271,271,283,downsampled_to_1_to_1_from_pos_271_neg_283,beta-Hydroxybutyrylation,fold_1_val
1992,404,996,996,996,1025,downsampled_to_1_to_1_from_pos_996_neg_1025,beta-Hydroxybutyrylation,fold_2_train
488,105,244,244,253,244,downsampled_to_1_to_1_from_pos_253_neg_244,beta-Hydroxybutyrylation,fold_2_val
2004,407,1002,1002,1002,1003,downsampled_to_1_to_1_from_pos_1002_neg_1003,beta-Hydroxybutyrylation,fold_3_train
494,103,247,247,247,266,downsampled_to_1_to_1_from_pos_247_neg_266,beta-Hydroxybutyrylation,fold_3_val
2006,410,1003,1003,1003,1009,downsampled_to_1_to_1_from_pos_1003_neg_1009,beta-Hydroxybutyrylation,fold_4_train
492,100,246,246,246,260,downsampled_to_1_to_1_from_pos_246_neg_260,beta-Hydroxybutyrylation,fold_4_val
2034,416,1017,1017,1017,1053,downsampled_to_1_to_1_from_pos_1017_neg_1053,beta-Hydroxybutyrylation,fold_5_train
432,94,216,216,232,216,downsampled_to_1_to_1_from_pos_232_neg_216,beta-Hydroxybutyrylation,fold_5_val
2290,280,1145,1145,1152,1145,downsampled_to_1_to_1_from_pos_1152_neg_1145,Crotonylation,test
9400,1128,4700,4700,4700,4707,downsampled_to_1_to_1_from_pos_4700_neg_4707,Crotonylation,train_80
7150,882,3575,3575,3633,3575,downsampled_to_1_to_1_from_pos_3633_neg_3575,Crotonylation,fold_1_train
2134,246,1067,1067,1067,1132,downsampled_to_1_to_1_from_pos_1067_neg_1132,Crotonylation,fold_1_val
7446,898,3723,3723,3723,3740,downsampled_to_1_to_1_from_pos_3723_neg_3740,Crotonylation,fold_2_train
1934,230,967,967,977,967,downsampled_to_1_to_1_from_pos_977_neg_967,Crotonylation,fold_2_val
7762,920,3881,3881,3920,3881,downsampled_to_1_to_1_from_pos_3920_neg_3881,Crotonylation,fold_3_train
1560,208,780,780,780,826,downsampled_to_1_to_1_from_pos_780_neg_826,Crotonylation,fold_3_val
7412,898,3706,3706,3706,3786,downsampled_to_1_to_1_from_pos_3706_neg_3786,Crotonylation,fold_4_train
1842,230,921,921,994,921,downsampled_to_1_to_1_from_pos_994_neg_921,Crotonylation,fold_4_val
