protein,pdb_path,reason,valid
A0AV96,,missing_pdb,False
A0MZ66,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/A0MZ66.pdb,exact_sequence_match,True
A1A4G5,,missing_pdb,False
A1L0T0,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/A1L0T0.pdb,exact_sequence_match,True
A2RRP1,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/A2RRP1.pdb,exact_sequence_match,True
A4D1E9,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/A4D1E9.pdb,exact_sequence_match,True
A5YKK6,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/A5YKK6.pdb,exact_sequence_match,True
A6NDY0,,missing_pdb,False
A6NKD9,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/A6NKD9.pdb,exact_sequence_match,True
A8MQT2,,missing_pdb,False
A8MXV4,,missing_pdb,False
B1AJZ9,,missing_pdb,False
E0CX11,,missing_pdb,False
O00151,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O00151.pdb,exact_sequence_match,True
O00154,,missing_pdb,False
O00159,,missing_pdb,False
O00193,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O00193.pdb,exact_sequence_match,True
O00194,,missing_pdb,False
O00203,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O00203.pdb,exact_sequence_match,True
O00217,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O00217.pdb,exact_sequence_match,True
O00231,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O00231.pdb,exact_sequence_match,True
O00232,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O00232.pdb,exact_sequence_match,True
O00233,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O00233.pdb,exact_sequence_match,True
O00244,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O00244.pdb,exact_sequence_match,True
O00264,,missing_pdb,False
O00267,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O00267.pdb,exact_sequence_match,True
O00303,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O00303.pdb,exact_sequence_match,True
O00370,,missing_pdb,False
O00410,,missing_pdb,False
O00422,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O00422.pdb,exact_sequence_match,True
O00461,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O00461.pdb,exact_sequence_match,True
O00483,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O00483.pdb,exact_sequence_match,True
O00487,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O00487.pdb,exact_sequence_match,True
O00499,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O00499.pdb,exact_sequence_match,True
O00507,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O00507.pdb,exact_sequence_match,True
O00541,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O00541.pdb,exact_sequence_match,True
O00560,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O00560.pdb,exact_sequence_match,True
O00566,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O00566.pdb,exact_sequence_match,True
O00567,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O00567.pdb,exact_sequence_match,True
O00571,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O00571.pdb,exact_sequence_match,True
O00592,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O00592.pdb,exact_sequence_match,True
O00764,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O00764.pdb,exact_sequence_match,True
O00767,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O00767.pdb,exact_sequence_match,True
O14530,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O14530.pdb,exact_sequence_match,True
O14545,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O14545.pdb,exact_sequence_match,True
O14548,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O14548.pdb,exact_sequence_match,True
O14561,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O14561.pdb,exact_sequence_match,True
O14578,,missing_pdb,False
O14579,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O14579.pdb,exact_sequence_match,True
O14602,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O14602.pdb,exact_sequence_match,True
O14617,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O14617.pdb,exact_sequence_match,True
O14646,,missing_pdb,False
O14653,,missing_pdb,False
O14657,,missing_pdb,False
O14672,,missing_pdb,False
O14730,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O14730.pdb,exact_sequence_match,True
O14737,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O14737.pdb,exact_sequence_match,True
O14745,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O14745.pdb,exact_sequence_match,True
O14776,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O14776.pdb,exact_sequence_match,True
O14874,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O14874.pdb,exact_sequence_match,True
O14880,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O14880.pdb,exact_sequence_match,True
O14904,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O14904.pdb,exact_sequence_match,True
O14907,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O14907.pdb,exact_sequence_match,True
O14964,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O14964.pdb,exact_sequence_match,True
O14974,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O14974.pdb,exact_sequence_match,True
O14979,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O14979.pdb,exact_sequence_match,True
O14980,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O14980.pdb,exact_sequence_match,True
O15042,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O15042.pdb,exact_sequence_match,True
O15061,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O15061.pdb;/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/AF-O15061-F1-model_v6.pdb,sequence_mismatch,False
O15067,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O15067.pdb,exact_sequence_match,True
O15118,,missing_pdb,False
O15143,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O15143.pdb,exact_sequence_match,True
O15144,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O15144.pdb,exact_sequence_match,True
O15145,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O15145.pdb,exact_sequence_match,True
O15162,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O15162.pdb,exact_sequence_match,True
O15173,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O15173.pdb,exact_sequence_match,True
O15213,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O15213.pdb,exact_sequence_match,True
O15226,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O15226.pdb,exact_sequence_match,True
O15230,,missing_pdb,False
O15235,,missing_pdb,False
O15258,,missing_pdb,False
O15260,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O15260.pdb,exact_sequence_match,True
O15269,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O15269.pdb,exact_sequence_match,True
O15270,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O15270.pdb,exact_sequence_match,True
O15305,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O15305.pdb,exact_sequence_match,True
O15355,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O15355.pdb,exact_sequence_match,True
O15371,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O15371.pdb,exact_sequence_match,True
O15372,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O15372.pdb,exact_sequence_match,True
O15382,,missing_pdb,False
O15498,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O15498.pdb,exact_sequence_match,True
O15511,,missing_pdb,False
O43143,,missing_pdb,False
O43148,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O43148.pdb,exact_sequence_match,True
O43159,,missing_pdb,False
O43169,,missing_pdb,False
O43172,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O43172.pdb,exact_sequence_match,True
O43181,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O43181.pdb,exact_sequence_match,True
O43242,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O43242.pdb,exact_sequence_match,True
O43252,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O43252.pdb,exact_sequence_match,True
O43264,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O43264.pdb,exact_sequence_match,True
O43290,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O43290.pdb,exact_sequence_match,True
O43291,,missing_pdb,False
O43293,,missing_pdb,False
O43318,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O43318.pdb,exact_sequence_match,True
O43324,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O43324.pdb,exact_sequence_match,True
O43390,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O43390.pdb,exact_sequence_match,True
O43395,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O43395.pdb,exact_sequence_match,True
O43399,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O43399.pdb,exact_sequence_match,True
O43491,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O43491.pdb,exact_sequence_match,True
O43542,,missing_pdb,False
O43583,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O43583.pdb,exact_sequence_match,True
O43592,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O43592.pdb,exact_sequence_match,True
O43598,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O43598.pdb,exact_sequence_match,True
O43615,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O43615.pdb,exact_sequence_match,True
O43617,,missing_pdb,False
O43660,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O43660.pdb,exact_sequence_match,True
