protein,pdb_path,reason,valid
A0A023T778,,missing_pdb,False
A0A023W453,,missing_pdb,False
A0A023W5B8,,missing_pdb,False
A0A023W5J3,,missing_pdb,False
A0A024R4E5,,missing_pdb,False
A0A067Z9B6,,missing_pdb,False
A0A068JFJ9,,missing_pdb,False
A0A075B716,,missing_pdb,False
A0A075TM03,,missing_pdb,False
A0A075TM14,,missing_pdb,False
A0A075TM21,,missing_pdb,False
A0A075TQN6,,missing_pdb,False
A0A075TQR0,,missing_pdb,False
A0A075TQY5,,missing_pdb,False
A0A077RQ21,,missing_pdb,False
A0A077RQC2,,missing_pdb,False
A0A077RRV1,,missing_pdb,False
A0A077RRW0,,missing_pdb,False
A0A077RSM9,,missing_pdb,False
A0A077RUP1,,missing_pdb,False
A0A077RW33,,missing_pdb,False
A0A077RX20,,missing_pdb,False
A0A077RX28,,missing_pdb,False
A0A077RXP2,,missing_pdb,False
A0A077RZQ5,,missing_pdb,False
A0A077S0T7,,missing_pdb,False
A0A077S185,,missing_pdb,False
A0A077S347,,missing_pdb,False
A0A080YTW0,,missing_pdb,False
A0A080YUA1,,missing_pdb,False
A0A080YUM6,,missing_pdb,False
A0A080YUM7,,missing_pdb,False
A0A087WPL5,,missing_pdb,False
A0A087WPM0,,missing_pdb,False
A0A087WQ28,,missing_pdb,False
A0A087WRI5,,missing_pdb,False
A0A087WRN1,,missing_pdb,False
A0A087WS39,,missing_pdb,False
A0A087WUV0,,missing_pdb,False
A0A087WWN0,,missing_pdb,False
A0A096LPI6,,missing_pdb,False
A0A096MIW7,,missing_pdb,False
A0A096MJ37,,missing_pdb,False
A0A096MJ75,,missing_pdb,False
A0A096MJ77,,missing_pdb,False
A0A096MJ91,,missing_pdb,False
A0A096MJG7,,missing_pdb,False
A0A096MJJ7,,missing_pdb,False
A0A096MJL5,,missing_pdb,False
A0A096MJN1,,missing_pdb,False
A0A096MJT9,,missing_pdb,False
A0A096MJW3,,missing_pdb,False
A0A096MJX5,,missing_pdb,False
A0A096MK47,,missing_pdb,False
A0A096MK48,,missing_pdb,False
A0A096MK72,,missing_pdb,False
A0A096MK99,,missing_pdb,False
A0A096MKE2,,missing_pdb,False
A0A096MKI0,,missing_pdb,False
A0A0A0MQ68,,missing_pdb,False
A0A0A0MQ90,,missing_pdb,False
A0A0A0MQG1,,missing_pdb,False
A0A0A0MRB8,,missing_pdb,False
A0A0A0MRX7,,missing_pdb,False
A0A0A0MSM3,,missing_pdb,False
A0A0A0MSQ6,,missing_pdb,False
A0A0A0MXZ0,,missing_pdb,False
A0A0A0MXZ8,,missing_pdb,False
A0A0A0MY00,,missing_pdb,False
A0A0A0MY22,,missing_pdb,False
A0A0A6YWB3,,missing_pdb,False
A0A0A6YXJ1,,missing_pdb,False
A0A0A6YXZ8,,missing_pdb,False
A0A0A6YYJ8,,missing_pdb,False
A0A0A6YYL4,,missing_pdb,False
A0A0B4J1F9,,missing_pdb,False
A0A0B4JD58,,missing_pdb,False
A0A0B4JD82,,missing_pdb,False
A0A0B4K7J2,,missing_pdb,False
A0A0B4KFE9,,missing_pdb,False
A0A0B4KG81,,missing_pdb,False
A0A0C4BIT2,,missing_pdb,False
A0A0D9SEN0,,missing_pdb,False
A0A0F7IN65,,missing_pdb,False
A0A0F7UMP6,,missing_pdb,False
A0A0F7UNF6,,missing_pdb,False
A0A0F7UNI8,,missing_pdb,False
A0A0F7UNU4,,missing_pdb,False
A0A0F7UNW4,,missing_pdb,False
A0A0F7USK4,,missing_pdb,False
A0A0F7UUN0,,missing_pdb,False
A0A0F7UVN4,,missing_pdb,False
A0A0F7UX90,,missing_pdb,False
A0A0F7UXX2,,missing_pdb,False
A0A0F7UY31,,missing_pdb,False
A0A0F7UZN1,,missing_pdb,False
A0A0F7V090,,missing_pdb,False
A0A0F7V130,,missing_pdb,False
A0A0F7V167,,missing_pdb,False
A0A0F7V1A1,,missing_pdb,False
A0A0F7V1Z5,,missing_pdb,False
A0A0F7V4L4,,missing_pdb,False
A0A0F7V613,,missing_pdb,False
A0A0F7V9N9,,missing_pdb,False
A0A0F7VBC4,,missing_pdb,False
A0A0F7VBJ8,,missing_pdb,False
A0A0F7VDP1,,missing_pdb,False
A0A0G2JDY5,,missing_pdb,False
A0A0G2JEI9,,missing_pdb,False
A0A0G2JEL9,,missing_pdb,False
A0A0G2JEY4,,missing_pdb,False
A0A0G2JEY9,,missing_pdb,False
A0A0G2JF26,,missing_pdb,False
A0A0G2JFQ5,,missing_pdb,False
A0A0G2JFV9,,missing_pdb,False
A0A0G2JH06,,missing_pdb,False
A0A0G2JNU3,,missing_pdb,False
A0A0G2JSK9,,missing_pdb,False
A0A0G2JT63,,missing_pdb,False
A0A0G2JT84,,missing_pdb,False
A0A0G2JT85,,missing_pdb,False
A0A0G2JTB5,,missing_pdb,False
A0A0G2JTC9,,missing_pdb,False
A0A0G2JTM7,,missing_pdb,False
A0A0G2JTN7,,missing_pdb,False
A0A0G2JTX7,,missing_pdb,False
A0A0G2JU15,,missing_pdb,False
A0A0G2JUE4,,missing_pdb,False
A0A0G2JUG8,,missing_pdb,False
A0A0G2JUM3,,missing_pdb,False
A0A0G2JUM9,,missing_pdb,False
A0A0G2JUV5,,missing_pdb,False
A0A0G2JV32,,missing_pdb,False
A0A0G2JVB6,,missing_pdb,False
A0A0G2JVD6,,missing_pdb,False
A0A0G2JVK8,,missing_pdb,False
A0A0G2JVM2,,missing_pdb,False
A0A0G2JVP8,,missing_pdb,False
A0A0G2JVS9,,missing_pdb,False
A0A0G2JVT2,,missing_pdb,False
A0A0G2JVW6,,missing_pdb,False
A0A0G2JW29,,missing_pdb,False
A0A0G2JW65,,missing_pdb,False
A0A0G2JWG0,,missing_pdb,False
A0A0G2JWJ5,,missing_pdb,False
A0A0G2JWV8,,missing_pdb,False
A0A0G2JWX1,,missing_pdb,False
A0A0G2JWZ2,,missing_pdb,False
A0A0G2JX93,,missing_pdb,False
A0A0G2JX94,,missing_pdb,False
A0A0G2JXI1,,missing_pdb,False
A0A0G2JXJ6,,missing_pdb,False
A0A0G2JXK1,,missing_pdb,False
A0A0G2JXW4,,missing_pdb,False
A0A0G2JXY0,,missing_pdb,False
A0A0G2JY26,,missing_pdb,False
A0A0G2JY73,,missing_pdb,False
A0A0G2JYA3,,missing_pdb,False
A0A0G2JYE1,,missing_pdb,False
A0A0G2JYI7,,missing_pdb,False
A0A0G2JYY3,,missing_pdb,False
A0A0G2JYZ2,,missing_pdb,False
A0A0G2JZ11,,missing_pdb,False
A0A0G2JZ47,,missing_pdb,False
A0A0G2JZ89,,missing_pdb,False
A0A0G2JZB6,,missing_pdb,False
A0A0G2JZC3,,missing_pdb,False
A0A0G2JZI8,,missing_pdb,False
A0A0G2JZJ9,,missing_pdb,False
A0A0G2JZP7,,missing_pdb,False
A0A0G2JZQ5,,missing_pdb,False
A0A0G2JZR0,,missing_pdb,False
A0A0G2K001,,missing_pdb,False
A0A0G2K051,,missing_pdb,False
A0A0G2K095,,missing_pdb,False
A0A0G2K0C9,,missing_pdb,False
A0A0G2K0J7,,missing_pdb,False
A0A0G2K0M0,,missing_pdb,False
A0A0G2K0T8,,missing_pdb,False
A0A0G2K150,,missing_pdb,False
A0A0G2K160,,missing_pdb,False
A0A0G2K161,,missing_pdb,False
A0A0G2K193,,missing_pdb,False
A0A0G2K1G0,,missing_pdb,False
A0A0G2K1K5,,missing_pdb,False
A0A0G2K1P7,,missing_pdb,False
A0A0G2K1R8,,missing_pdb,False
A0A0G2K1X3,,missing_pdb,False
A0A0G2K1X6,,missing_pdb,False
A0A0G2K1Y8,,missing_pdb,False
A0A0G2K264,,missing_pdb,False
A0A0G2K2B6,,missing_pdb,False
A0A0G2K2H9,,missing_pdb,False
A0A0G2K2J7,,missing_pdb,False
A0A0G2K2T1,,missing_pdb,False
A0A0G2K2W0,,missing_pdb,False
A0A0G2K351,,missing_pdb,False
A0A0G2K365,,missing_pdb,False
A0A0G2K3P9,,missing_pdb,False
A0A0G2K3R5,,missing_pdb,False
A0A0G2K3V1,,missing_pdb,False
A0A0G2K459,,missing_pdb,False
A0A0G2K4C8,,missing_pdb,False
A0A0G2K4I4,,missing_pdb,False
A0A0G2K4K6,,missing_pdb,False
A0A0G2K5A7,,missing_pdb,False
A0A0G2K5B0,,missing_pdb,False
A0A0G2K5D3,,missing_pdb,False
A0A0G2K5F7,,missing_pdb,False
A0A0G2K5P5,,missing_pdb,False
A0A0G2K5Q6,,missing_pdb,False
A0A0G2K618,,missing_pdb,False
A0A0G2K658,,missing_pdb,False
A0A0G2K659,,missing_pdb,False
A0A0G2K665,,missing_pdb,False
A0A0G2K6E0,,missing_pdb,False
A0A0G2K6E3,,missing_pdb,False
A0A0G2K6Z8,,missing_pdb,False
A0A0G2K715,,missing_pdb,False
A0A0G2K777,,missing_pdb,False
A0A0G2K7B6,,missing_pdb,False
A0A0G2K7B7,,missing_pdb,False
A0A0G2K7S6,,missing_pdb,False
A0A0G2K7V9,,missing_pdb,False
A0A0G2K8K1,,missing_pdb,False
A0A0G2K8M5,,missing_pdb,False
A0A0G2K8U5,,missing_pdb,False
A0A0G2K8V3,,missing_pdb,False
A0A0G2K904,,missing_pdb,False
A0A0G2K916,,missing_pdb,False
A0A0G2K952,,missing_pdb,False
A0A0G2K9H2,,missing_pdb,False
A0A0G2K9J0,,missing_pdb,False
A0A0G2K9R9,,missing_pdb,False
A0A0G2K9U6,,missing_pdb,False
A0A0G2K9U7,,missing_pdb,False
A0A0G2KA92,,missing_pdb,False
A0A0G2KAD4,,missing_pdb,False
A0A0G2KAE3,,missing_pdb,False
A0A0G2KAW5,,missing_pdb,False
A0A0G2KAX2,,missing_pdb,False
A0A0G2KB60,,missing_pdb,False
A0A0G2KBA5,,missing_pdb,False
A0A0G2QC09,,missing_pdb,False
A0A0G2QC22,,missing_pdb,False
A0A0H2UHG5,,missing_pdb,False
A0A0H2UHL1,,missing_pdb,False
A0A0H2UHP2,,missing_pdb,False
A0A0H2UHW6,,missing_pdb,False
A0A0H2UHW8,,missing_pdb,False
A0A0H2UHX3,,missing_pdb,False
A0A0H2Z5X2,,missing_pdb,False
A0A0H2Z601,,missing_pdb,False
A0A0H2Z6M1,,missing_pdb,False
A0A0H2Z6R8,,missing_pdb,False
A0A0H2Z6S5,,missing_pdb,False
A0A0H2Z6V7,,missing_pdb,False
A0A0H2Z6W9,,missing_pdb,False
A0A0H2Z748,,missing_pdb,False
A0A0H2Z785,,missing_pdb,False
A0A0H2Z7B9,,missing_pdb,False
A0A0H2Z7D3,,missing_pdb,False
A0A0H2Z7E7,,missing_pdb,False
A0A0H2Z7R1,,missing_pdb,False
A0A0H2Z7X1,,missing_pdb,False
A0A0H2Z7Y2,,missing_pdb,False
A0A0H2Z7Y5,,missing_pdb,False
A0A0H2Z7Z0,,missing_pdb,False
A0A0H2Z826,,missing_pdb,False
A0A0H2Z839,,missing_pdb,False
A0A0H2Z848,,missing_pdb,False
A0A0H2Z8B0,,missing_pdb,False
A0A0H2Z8B5,,missing_pdb,False
