protein,length,shape
A0FGR8,921,921x112
A0MZ66,631,631x112
A1L0T0,632,632x112
A2A3N6,862,862x112
A2AJT9,711,711x112
A2RRP1,2371,2371x112
A2RTX5,802,802x112
A3KMH1,1905,1905x112
A3KN83,1393,1393x112
A4D1E9,387,387x112
A5D8V6,355,355x112
A5PLN9,417,417x112
A5YKK6,2376,2376x112
A6NCE7,125,125x112
A6NCI4,1184,1184x112
A6ND36,823,823x112
A6NDG6,321,321x112
A6NDU8,294,294x112
A6NHX0,329,329x112
A6NKD9,419,419x112
A6NKH3,93,93x112
A6NM62,1247,1247x112
A8MWD9,76,76x112
A9UHW6,222,222x112
B5ME19,914,914x112
B7ZAQ6,455,455x112
E9PAV3,2078,2078x112
O00116,658,658x112
O00151,329,329x112
O00161,211,211x112
O00193,183,183x112
O00203,1094,1094x112
O00217,210,210x112
O00220,468,468x112
O00231,422,422x112
O00232,456,456x112
O00233,223,223x112
O00244,68,68x112
O00267,1087,1087x112
O00303,357,357x112
O00330,501,501x112
O00399,190,190x112
O00401,505,505x112
O00411,1230,1230x112
O00422,153,153x112
O00442,366,366x112
O00443,1686,1686x112
O00459,728,728x112
O00461,696,696x112
O00471,708,708x112
O00483,81,81x112
O00487,310,310x112
O00499,593,593x112
O00507,2555,2555x112
O00541,588,588x112
O00560,298,298x112
O00566,681,681x112
O00567,594,594x112
O00571,662,662x112
O00592,558,558x112
O00625,290,290x112
O00762,179,179x112
O00763,2458,2458x112
O00764,312,312x112
O00767,359,359x112
O14497,2285,2285x112
O14530,226,226x112
O14545,582,582x112
O14548,114,114x112
O14561,156,156x112
O14562,309,309x112
O14579,308,308x112
O14602,144,144x112
O14617,1153,1153x112
O14639,778,778x112
O14647,1828,1828x112
O14656,332,332x112
O14727,1248,1248x112
O14730,519,519x112
O14737,125,125x112
O14744,637,637x112
O14745,358,358x112
O14757,476,476x112
O14776,1098,1098x112
O14777,642,642x112
O14802,1390,1390x112
O14874,412,412x112
O14880,152,152x112
O14904,365,365x112
O14907,124,124x112
O14908,333,333x112
O14925,209,209x112
O14936,926,926x112
O14950,172,172x112
O14964,777,777x112
O14974,1030,1030x112
O14975,620,620x112
O14979,420,420x112
O14980,1071,1071x112
O14981,1849,1849x112
O15020,2390,2390x112
O15031,1838,1838x112
O15042,1029,1029x112
O15066,747,747x112
O15067,1338,1338x112
O15078,2479,2479x112
O15084,1053,1053x112
O15091,583,583x112
O15116,133,133x112
O15121,323,323x112
O15143,372,372x112
O15144,300,300x112
O15145,178,178x112
O15160,346,346x112
O15162,318,318x112
O15173,223,223x112
O15212,129,129x112
O15213,610,610x112
O15226,690,690x112
O15260,269,269x112
O15269,473,473x112
O15270,562,562x112
O15294,1046,1046x112
O15305,246,246x112
O15355,546,546x112
O15357,1258,1258x112
O15371,548,548x112
O15372,352,352x112
O15400,261,261x112
O15479,319,319x112
O15498,198,198x112
O15541,343,343x112
O15554,427,427x112
O43148,476,476x112
O43156,1089,1089x112
O43172,522,522x112
O43175,533,533x112
O43181,175,175x112
O43242,534,534x112
O43252,624,624x112
O43264,779,779x112
O43290,800,800x112
O43292,621,621x112
O43310,598,598x112
O43314,1243,1243x112
O43318,606,606x112
O43324,174,174x112
O43345,1280,1280x112
O43347,362,362x112
O43353,540,540x112
O43390,633,633x112
O43395,683,683x112
O43396,289,289x112
O43399,206,206x112
O43427,364,364x112
O43491,1005,1005x112
O43505,415,415x112
O43513,233,233x112
O43583,198,198x112
O43592,962,962x112
O43598,174,174x112
O43615,452,452x112
O43660,514,514x112
O43663,620,620x112
O43670,478,478x112
O43674,189,189x112
O43677,76,76x112
O43681,348,348x112
O43707,911,911x112
O43716,136,136x112
O43719,755,755x112
O43739,400,400x112
O43747,822,822x112
O43752,255,255x112
O43765,313,313x112
O43768,121,121x112
O43776,548,548x112
O43795,1136,1136x112
O43805,119,119x112
O43809,227,227x112
O43818,475,475x112
O43823,692,692x112
O43837,385,385x112
O43861,1147,1147x112
O43896,1103,1103x112
O43913,435,435x112
O60216,631,631x112
O60239,455,455x112
O60244,1454,1454x112
O60264,1052,1052x112
O60271,1321,1321x112
O60287,2271,2271x112
O60293,1989,1989x112
O60306,1485,1485x112
O60313,960,960x112
O60333,1816,1816x112
O60341,852,852x112
O60343,1298,1298x112
O60437,1756,1756x112
O60443,496,496x112
O60493,162,162x112
O60502,916,916x112
O60503,1353,1353x112
O60518,1105,1105x112
O60524,1076,1076x112
O60547,372,372x112
O60563,726,726x112
O60566,1050,1050x112
O60568,738,738x112
O60610,1272,1272x112
O60678,531,531x112
O60701,494,494x112
O60716,968,968x112
O60739,113,113x112
O60762,260,260x112
O60763,962,962x112
O60826,627,627x112
O60828,265,265x112
O60832,514,514x112
O60841,1220,1220x112
O60869,148,148x112
O60870,393,393x112
O60884,412,412x112
O60885,1362,1362x112
O60888,179,179x112
O60921,280,280x112
O60925,122,122x112
O60934,754,754x112
O75027,752,752x112
O75063,409,409x112
O75083,606,606x112
O75094,1523,1523x112
O75116,1388,1388x112
O75127,700,700x112
O75131,537,537x112
O75143,517,517x112
O75145,1194,1194x112
O75146,1068,1068x112
O75150,1001,1001x112
O75152,810,810x112
O75153,1309,1309x112
O75155,1236,1236x112
O75157,780,780x112
O75165,2243,2243x112
O75175,753,753x112
O75179,2603,2603x112
O75190,326,326x112
O75191,536,536x112
O75208,318,318x112
O75223,188,188x112
O75306,463,463x112
O75312,459,459x112
O75323,286,286x112
O75330,724,724x112
O75334,1257,1257x112
O75347,108,108x112
O75348,118,118x112
O75351,444,444x112
O75368,114,114x112
O75380,124,124x112
O75390,466,466x112
O75391,227,227x112
O75400,957,957x112
O75410,805,805x112
O75419,566,566x112
O75420,1035,1035x112
O75436,327,327x112
O75439,489,489x112
O75446,220,220x112
O75448,989,989x112
O75459,146,146x112
O75475,530,530x112
O75477,348,348x112
O75486,317,317x112
O75496,209,209x112
O75521,394,394x112
O75526,392,392x112
O75531,89,89x112
O75533,1304,1304x112
O75534,798,798x112
O75554,376,376x112
O75643,2136,2136x112
O75663,272,272x112
O75665,1012,1012x112
O75674,476,476x112
O75683,361,361x112
O75694,1391,1391x112
O75695,350,350x112
O75717,1129,1129x112
O75718,401,401x112
O75746,678,678x112
O75787,350,350x112
O75792,299,299x112
O75794,336,336x112
O75818,363,363x112
O75821,320,320x112
O75822,258,258x112
O75832,226,226x112
O75844,475,475x112
O75934,225,225x112
O75937,253,253x112
O75940,238,238x112
O75947,161,161x112
O75964,103,103x112
O76003,335,335x112
O76021,490,490x112
O76094,671,671x112
O94760,285,285x112
O94776,668,668x112
