protein,pdb_path,reason,valid
A0A024AX02,,missing_pdb,False
A0A059TCM2,,missing_pdb,False
A0A059XID0,,missing_pdb,False
A0A067YF53,,missing_pdb,False
A0A068JD95,,missing_pdb,False
A0A075EYP9,,missing_pdb,False
A0A075EYT9,,missing_pdb,False
A0A075F1U0,,missing_pdb,False
A0A075F2G1,,missing_pdb,False
A0A075F2G5,,missing_pdb,False
A0A075F2H1,,missing_pdb,False
A0A075F933,,missing_pdb,False
A0A075M5Q4,,missing_pdb,False
A0A075QVP3,,missing_pdb,False
A0A075TQC9,,missing_pdb,False
A0A075TQJ2,,missing_pdb,False
A0A075TQP1,,missing_pdb,False
A0A075TQR7,,missing_pdb,False
A0A075TXC2,,missing_pdb,False
A0A076FNH2,,missing_pdb,False
A0A076FNJ9,,missing_pdb,False
A0A076FQ17,,missing_pdb,False
A0A076FU21,,missing_pdb,False
A0A076KWG2,,missing_pdb,False
A0A076KWG3,,missing_pdb,False
A0A076KWG4,,missing_pdb,False
A0A076KWG9,,missing_pdb,False
A0A076KX89,,missing_pdb,False
A0A077D7Q3,,missing_pdb,False
A0A077D830,,missing_pdb,False
A0A077D9N5,,missing_pdb,False
A0A077D9P5,,missing_pdb,False
A0A077DBL2,,missing_pdb,False
A0A077DCK3,,missing_pdb,False
A0A077DCL2,,missing_pdb,False
A0A077DCL8,,missing_pdb,False
A0A097BTV9,,missing_pdb,False
A0A097BTX2,,missing_pdb,False
A0A097BU08,,missing_pdb,False
A0A0A8J4Z6,,missing_pdb,False
A0A0A8JBT3,,missing_pdb,False
A0A0A8WJH5,,missing_pdb,False
A0A0C4FST8,,missing_pdb,False
A0A0D5BEQ6,,missing_pdb,False
A0A0E3XCA8,,missing_pdb,False
A0A0F7R4E4,,missing_pdb,False
A0A0K0XR75,,missing_pdb,False
A0A0K0XR76,,missing_pdb,False
A0A0N7CV06,,missing_pdb,False
A0A0P0XB70,,missing_pdb,False
A0A0R4WFE4,,missing_pdb,False
A0A0R4WFE9,,missing_pdb,False
A0A0R4WFW8,,missing_pdb,False
A0A139ZSG9,,missing_pdb,False
A0A286QXV9,,missing_pdb,False
A0A2L0V7Q6,,missing_pdb,False
A0A344TAZ2,,missing_pdb,False
A0A411G176,,missing_pdb,False
A0A481ZEN8,,missing_pdb,False
A0A494WEP4,,missing_pdb,False
A0A4S4CV49,,missing_pdb,False
A0A4S4CVE7,,missing_pdb,False
A0A4S4CVJ1,,missing_pdb,False
A0A4S4CVM2,,missing_pdb,False
A0A4S4CWN9,,missing_pdb,False
A0A4S4CWV3,,missing_pdb,False
A0A4S4CXD1,,missing_pdb,False
A0A4S4CXX3,,missing_pdb,False
A0A4S4CY02,,missing_pdb,False
A0A4S4CY30,,missing_pdb,False
A0A4S4CY48,,missing_pdb,False
A0A4S4CY71,,missing_pdb,False
A0A4S4CYI1,,missing_pdb,False
A0A4S4CYI8,,missing_pdb,False
A0A4S4CYP9,,missing_pdb,False
A0A4S4CYX9,,missing_pdb,False
A0A4S4CZ69,,missing_pdb,False
A0A4S4CZ71,,missing_pdb,False
A0A4S4CZD6,,missing_pdb,False
A0A4S4CZH9,,missing_pdb,False
A0A4S4CZJ7,,missing_pdb,False
A0A4S4CZJ8,,missing_pdb,False
A0A4S4CZQ6,,missing_pdb,False
A0A4S4CZU9,,missing_pdb,False
A0A4S4CZV9,,missing_pdb,False
A0A4S4CZW7,,missing_pdb,False
A0A4S4CZZ6,,missing_pdb,False
A0A4S4D005,,missing_pdb,False
