protein,pdb_path,reason,valid
A0A021WW32,,missing_pdb,False
A0A024R5B6,,missing_pdb,False
A0A061IDC7,,missing_pdb,False
A0A067XG51,,missing_pdb,False
A0A075B716,,missing_pdb,False
A0A075TQD8,,missing_pdb,False
A0A075TQR0,,missing_pdb,False
A0A087WP24,,missing_pdb,False
A0A087WP73,,missing_pdb,False
A0A087WPY5,,missing_pdb,False
A0A087WQ23,,missing_pdb,False
A0A087WQC8,,missing_pdb,False
A0A087WQF0,,missing_pdb,False
A0A087WRC9,,missing_pdb,False
A0A087WRZ7,,missing_pdb,False
A0A087WT15,,missing_pdb,False
A0A087WU02,,missing_pdb,False
A0A087WUN8,,missing_pdb,False
A0A087WVC5,,missing_pdb,False
A0A087WWN8,,missing_pdb,False
A0A087WZ13,,missing_pdb,False
A0A087X037,,missing_pdb,False
A0A087X1R4,,missing_pdb,False
A0A096LNH2,,missing_pdb,False
A0A096LP01,,missing_pdb,False
A0A096MJ99,,missing_pdb,False
A0A096MJP9,,missing_pdb,False
A0A0A0MQG1,,missing_pdb,False
A0A0A0MQJ3,,missing_pdb,False
A0A0A0MRJ6,,missing_pdb,False
A0A0A0MRS6,,missing_pdb,False
A0A0A0MT35,,missing_pdb,False
A0A0A6YW34,,missing_pdb,False
A0A0A6YWJ7,,missing_pdb,False
A0A0A6YWM0,,missing_pdb,False
A0A0A6YWU6,,missing_pdb,False
A0A0A6YXX9,,missing_pdb,False
A0A0B4J1S3,,missing_pdb,False
A0A0B4J1Z8,,missing_pdb,False
A0A0B4JCT8,,missing_pdb,False
A0A0B4JD26,,missing_pdb,False
A0A0B4JD39,,missing_pdb,False
A0A0B4JD40,,missing_pdb,False
A0A0B4JD48,,missing_pdb,False
A0A0B4JDC3,,missing_pdb,False
A0A0B4K6C3,,missing_pdb,False
A0A0B4K6D2,,missing_pdb,False
A0A0B4K6I5,,missing_pdb,False
A0A0B4K6K9,,missing_pdb,False
A0A0B4K6M7,,missing_pdb,False
A0A0B4K6N7,,missing_pdb,False
A0A0B4K6P8,,missing_pdb,False
A0A0B4K6U2,,missing_pdb,False
A0A0B4K6W2,,missing_pdb,False
A0A0B4K713,,missing_pdb,False
A0A0B4K726,,missing_pdb,False
A0A0B4K730,,missing_pdb,False
A0A0B4K753,,missing_pdb,False
A0A0B4K7G4,,missing_pdb,False
A0A0B4K7J2,,missing_pdb,False
A0A0B4K7L0,,missing_pdb,False
A0A0B4K812,,missing_pdb,False
A0A0B4K827,,missing_pdb,False
A0A0B4K851,,missing_pdb,False
A0A0B4K883,,missing_pdb,False
A0A0B4K885,,missing_pdb,False
A0A0B4K891,,missing_pdb,False
A0A0B4K8A5,,missing_pdb,False
A0A0B4KEI3,,missing_pdb,False
A0A0B4KEI5,,missing_pdb,False
A0A0B4KEI6,,missing_pdb,False
A0A0B4KEJ4,,missing_pdb,False
A0A0B4KEK1,,missing_pdb,False
A0A0B4KES0,,missing_pdb,False
A0A0B4KET0,,missing_pdb,False
A0A0B4KEZ9,,missing_pdb,False
A0A0B4KF23,,missing_pdb,False
A0A0B4KF90,,missing_pdb,False
A0A0B4KFA4,,missing_pdb,False
A0A0B4KFE9,,missing_pdb,False
A0A0B4KFJ7,,missing_pdb,False
A0A0B4KFK9,,missing_pdb,False
A0A0B4KFN1,,missing_pdb,False
A0A0B4KFR1,,missing_pdb,False
A0A0B4KFW0,,missing_pdb,False
A0A0B4KFY5,,missing_pdb,False
A0A0B4KFZ0,,missing_pdb,False
A0A0B4KFZ9,,missing_pdb,False
A0A0B4KG17,,missing_pdb,False
A0A0B4KG32,,missing_pdb,False
A0A0B4KG52,,missing_pdb,False
A0A0B4KG81,,missing_pdb,False
A0A0B4KGI7,,missing_pdb,False
A0A0B4KGL6,,missing_pdb,False
A0A0B4KGQ0,,missing_pdb,False
A0A0B4KGU4,,missing_pdb,False
A0A0B4KGV7,,missing_pdb,False
A0A0B4KH12,,missing_pdb,False
A0A0B4KH73,,missing_pdb,False
A0A0B4KHB1,,missing_pdb,False
A0A0B4KHD4,,missing_pdb,False
A0A0B4KHH6,,missing_pdb,False
A0A0B4KHI3,,missing_pdb,False
A0A0B4KHL7,,missing_pdb,False
A0A0B4KHQ0,,missing_pdb,False
A0A0B4KHQ5,,missing_pdb,False
A0A0B4KHR8,,missing_pdb,False
A0A0B4KHS6,,missing_pdb,False
A0A0B4KHW3,,missing_pdb,False
A0A0B4KHX3,,missing_pdb,False
A0A0B4KHY4,,missing_pdb,False
A0A0B4KHY8,,missing_pdb,False
A0A0B4KI69,,missing_pdb,False
A0A0B4LEV2,,missing_pdb,False
A0A0B4LEY4,,missing_pdb,False
A0A0B4LF00,,missing_pdb,False
A0A0B4LF93,,missing_pdb,False
A0A0B4LF97,,missing_pdb,False
A0A0B4LFA6,,missing_pdb,False
A0A0B4LFB3,,missing_pdb,False
A0A0B4LFH2,,missing_pdb,False
A0A0B4LFH9,,missing_pdb,False
A0A0B4LFI9,,missing_pdb,False
A0A0B4LFJ4,,missing_pdb,False
A0A0B4LFK8,,missing_pdb,False
A0A0B4LFQ3,,missing_pdb,False
A0A0B4LFR4,,missing_pdb,False
A0A0B4LFT2,,missing_pdb,False
A0A0B4LFX4,,missing_pdb,False
A0A0B4LFY9,,missing_pdb,False
A0A0B4LG01,,missing_pdb,False
A0A0B4LG05,,missing_pdb,False
A0A0B4LG06,,missing_pdb,False
A0A0B4LGA9,,missing_pdb,False
A0A0B4LGB0,,missing_pdb,False
A0A0B4LGC8,,missing_pdb,False
