protein,has_esm2,esm2_file,has_prott5,prott5_file,has_structure,structure_file,structure_last_dim,structure_dim_ok
A0FGR8,True,A0FGR8.pt,True,A0FGR8.pt,True,A0FGR8.pt,112,True
A0MZ66,True,A0MZ66.pt,True,A0MZ66.pt,True,A0MZ66.pt,112,True
A1L0T0,True,A1L0T0.pt,True,A1L0T0.pt,True,A1L0T0.pt,112,True
A2A3N6,True,A2A3N6.pt,True,A2A3N6.pt,True,A2A3N6.pt,112,True
A2AJT9,True,A2AJT9.pt,True,A2AJT9.pt,True,A2AJT9.pt,112,True
A2RRP1,True,A2RRP1.pt,True,A2RRP1.pt,True,A2RRP1.pt,112,True
A2RTX5,True,A2RTX5.pt,True,A2RTX5.pt,True,A2RTX5.pt,112,True
A3KMH1,True,A3KMH1.pt,True,A3KMH1.pt,True,A3KMH1.pt,112,True
A3KN83,True,A3KN83.pt,True,A3KN83.pt,True,A3KN83.pt,112,True
A4D1E9,True,A4D1E9.pt,True,A4D1E9.pt,True,A4D1E9.pt,112,True
A5D8V6,True,A5D8V6.pt,True,A5D8V6.pt,True,A5D8V6.pt,112,True
A5PLN9,True,A5PLN9.pt,True,A5PLN9.pt,True,A5PLN9.pt,112,True
A5YKK6,True,A5YKK6.pt,True,A5YKK6.pt,True,A5YKK6.pt,112,True
A6NCE7,True,A6NCE7.pt,True,A6NCE7.pt,True,A6NCE7.pt,112,True
A6NCI4,True,A6NCI4.pt,True,A6NCI4.pt,True,A6NCI4.pt,112,True
A6ND36,True,A6ND36.pt,True,A6ND36.pt,True,A6ND36.pt,112,True
A6NDG6,True,A6NDG6.pt,True,A6NDG6.pt,True,A6NDG6.pt,112,True
A6NDU8,True,A6NDU8.pt,True,A6NDU8.pt,True,A6NDU8.pt,112,True
A6NHX0,True,A6NHX0.pt,True,A6NHX0.pt,True,A6NHX0.pt,112,True
A6NKD9,True,A6NKD9.pt,True,A6NKD9.pt,True,A6NKD9.pt,112,True
A6NKH3,True,A6NKH3.pt,True,A6NKH3.pt,True,A6NKH3.pt,112,True
A6NM62,True,A6NM62.pt,True,A6NM62.pt,True,A6NM62.pt,112,True
A8MWD9,True,A8MWD9.pt,True,A8MWD9.pt,True,A8MWD9.pt,112,True
A9UHW6,True,A9UHW6.pt,True,A9UHW6.pt,True,A9UHW6.pt,112,True
B5ME19,True,B5ME19.pt,True,B5ME19.pt,True,B5ME19.pt,112,True
B7ZAQ6,True,B7ZAQ6.pt,True,B7ZAQ6.pt,True,B7ZAQ6.pt,112,True
E9PAV3,True,E9PAV3.pt,True,E9PAV3.pt,True,E9PAV3.pt,112,True
O00116,True,O00116.pt,True,O00116.pt,True,O00116.pt,112,True
O00151,True,O00151.pt,True,O00151.pt,True,O00151.pt,112,True
O00161,True,O00161.pt,True,O00161.pt,True,O00161.pt,112,True
O00193,True,O00193.pt,True,O00193.pt,True,O00193.pt,112,True
O00203,True,O00203.pt,True,O00203.pt,True,O00203.pt,112,True
O00217,True,O00217.pt,True,O00217.pt,True,O00217.pt,112,True
O00220,True,O00220.pt,True,O00220.pt,True,O00220.pt,112,True
O00231,True,O00231.pt,True,O00231.pt,True,O00231.pt,112,True
O00232,True,O00232.pt,True,O00232.pt,True,O00232.pt,112,True
O00233,True,O00233.pt,True,O00233.pt,True,O00233.pt,112,True
O00244,True,O00244.pt,True,O00244.pt,True,O00244.pt,112,True
O00267,True,O00267.pt,True,O00267.pt,True,O00267.pt,112,True
O00303,True,O00303.pt,True,O00303.pt,True,O00303.pt,112,True
O00330,True,O00330.pt,True,O00330.pt,True,O00330.pt,112,True
O00399,True,O00399.pt,True,O00399.pt,True,O00399.pt,112,True
O00401,True,O00401.pt,True,O00401.pt,True,O00401.pt,112,True
