protein,pdb_path,reason,valid
A0A087WQC8,,missing_pdb,False
A0A097PJ38,,missing_pdb,False
A0A0A0MQ68,,missing_pdb,False
A0A0A6YX26,,missing_pdb,False
A0A0B4J1I0,,missing_pdb,False
A0A0G2K5L2,,missing_pdb,False
A0A0G2KTP6,,missing_pdb,False
A0A0N4SUD2,,missing_pdb,False
A0A0N7KI05,,missing_pdb,False
A0A0P0VLH7,,missing_pdb,False
A0A0P0VPT6,,missing_pdb,False
A0A0P0VRI0,,missing_pdb,False
A0A0P0VTZ7,,missing_pdb,False
A0A0P0VUB4,,missing_pdb,False
A0A0P0VW37,,missing_pdb,False
A0A0P0XBM6,,missing_pdb,False
A0A0P0XU17,,missing_pdb,False
A0A0P0XUU0,,missing_pdb,False
A0A0R4IRH3,,missing_pdb,False
A0A0R4IS05,,missing_pdb,False
A0A0R4ISK8,,missing_pdb,False
A0A0R4J083,,missing_pdb,False
A0A0R4J275,,missing_pdb,False
A0A140LIX9,,missing_pdb,False
A0A1B0GRP7,,missing_pdb,False
A0A1B0GSX0,,missing_pdb,False
A0A1B2YL13,,missing_pdb,False
A0A1J0CN59,,missing_pdb,False
A0A1J0CN61,,missing_pdb,False
A0A1L1SV25,,missing_pdb,False
A0A222C542,,missing_pdb,False
A0A6B9IPS0,,missing_pdb,False
A0KEB9,,missing_pdb,False
A0KEC4,,missing_pdb,False
A0KEF3,,missing_pdb,False
A0KEG0,,missing_pdb,False
A0KEH1,,missing_pdb,False
A0KEH4,,missing_pdb,False
A0KEH6,,missing_pdb,False
A0KEJ9,,missing_pdb,False
A0KEK0,,missing_pdb,False
A0KEM1,,missing_pdb,False
A0KEP7,,missing_pdb,False
A0KEW8,,missing_pdb,False
A0KEY6,,missing_pdb,False
A0KF00,,missing_pdb,False
A0KF01,,missing_pdb,False
A0KF05,,missing_pdb,False
A0KF06,,missing_pdb,False
A0KF07,,missing_pdb,False
A0KF09,,missing_pdb,False
A0KF20,,missing_pdb,False
A0KF23,,missing_pdb,False
A0KF29,,missing_pdb,False
A0KF32,,missing_pdb,False
A0KF34,,missing_pdb,False
A0KF37,,missing_pdb,False
A0KF44,,missing_pdb,False
A0KF46,,missing_pdb,False
A0KF55,,missing_pdb,False
A0KF66,,missing_pdb,False
A0KF70,,missing_pdb,False
A0KF77,,missing_pdb,False
A0KF78,,missing_pdb,False
A0KFB0,,missing_pdb,False
A0KFE6,,missing_pdb,False
A0KFF1,,missing_pdb,False
A0KFH9,,missing_pdb,False
A0KFL7,,missing_pdb,False
A0KFM9,,missing_pdb,False
A0KFR1,,missing_pdb,False
A0KFS6,,missing_pdb,False
A0KFU5,,missing_pdb,False
A0KFZ9,,missing_pdb,False
A0KG07,,missing_pdb,False
A0KG10,,missing_pdb,False
A0KG11,,missing_pdb,False
A0KG23,,missing_pdb,False
A0KG32,,missing_pdb,False
A0KG54,,missing_pdb,False
A0KG55,,missing_pdb,False
A0KG60,,missing_pdb,False
A0KG68,,missing_pdb,False
A0KG77,,missing_pdb,False
A0KG95,,missing_pdb,False
A0KG96,,missing_pdb,False
A0KGC0,,missing_pdb,False
A0KGC5,,missing_pdb,False
