protein,length,shape,status
A0FGR8,921,921x1024,generated
A0MZ66,631,631x1024,generated
A1L0T0,632,632x1024,generated
A2A3N6,862,862x1024,generated
A2AJT9,711,711x1024,generated
A2RRP1,2371,2371x1024,generated
A2RTX5,802,802x1024,generated
A3KMH1,1905,exists,exists
A3KN83,1393,exists,exists
A4D1E9,387,exists,exists
A5D8V6,355,exists,exists
A5PLN9,417,exists,exists
A5YKK6,2376,exists,exists
A6NCE7,125,exists,exists
A6NCI4,1184,exists,exists
A6ND36,823,exists,exists
A6NDG6,321,exists,exists
A6NDU8,294,exists,exists
A6NHX0,329,exists,exists
A6NKD9,419,exists,exists
A6NKH3,93,exists,exists
A6NM62,1247,exists,exists
A8MWD9,76,exists,exists
A9UHW6,222,exists,exists
B5ME19,914,exists,exists
B7ZAQ6,455,exists,exists
E9PAV3,2078,exists,exists
O00116,658,exists,exists
O00151,329,exists,exists
O00161,211,exists,exists
O00193,183,exists,exists
O00203,1094,exists,exists
O00217,210,exists,exists
O00220,468,exists,exists
O00231,422,exists,exists
O00232,456,exists,exists
O00233,223,exists,exists
O00244,68,exists,exists
O00267,1087,exists,exists
O00303,357,exists,exists
O00330,501,exists,exists
O00399,190,exists,exists
O00401,505,exists,exists
O00411,1230,exists,exists
O00422,153,exists,exists
O00442,366,exists,exists
O00443,1686,exists,exists
O00459,728,exists,exists
O00461,696,exists,exists
O00471,708,exists,exists
O00483,81,exists,exists
O00487,310,exists,exists
O00499,593,exists,exists
O00507,2555,exists,exists
O00541,588,exists,exists
O00560,298,exists,exists
O00566,681,exists,exists
O00567,594,exists,exists
O00571,662,exists,exists
O00592,558,exists,exists
O00625,290,exists,exists
O00762,179,exists,exists
O00763,2458,exists,exists
O00764,312,exists,exists
O00767,359,exists,exists
O14497,2285,exists,exists
O14530,226,exists,exists
O14545,582,exists,exists
O14548,114,exists,exists
O14561,156,exists,exists
O14562,309,exists,exists
O14579,308,exists,exists
O14602,144,exists,exists
O14617,1153,exists,exists
O14639,778,exists,exists
O14647,1828,exists,exists
O14656,332,exists,exists
O14727,1248,exists,exists
O14730,519,exists,exists
O14737,125,exists,exists
O14744,637,exists,exists
O14745,358,exists,exists
O14757,476,exists,exists
O14776,1098,exists,exists
O14777,642,exists,exists
O14802,1390,exists,exists
O14874,412,exists,exists
O14880,152,exists,exists
O14904,365,exists,exists
O14907,124,exists,exists
O14908,333,exists,exists
O14925,209,exists,exists
O14936,926,exists,exists
O14950,172,exists,exists
O14964,777,exists,exists
O14974,1030,exists,exists
O14975,620,exists,exists
O14979,420,exists,exists
O14980,1071,exists,exists
O14981,1849,exists,exists
O15020,2390,exists,exists
O15031,1838,exists,exists
O15042,1029,exists,exists
O15066,747,exists,exists
O15067,1338,exists,exists
O15078,2479,exists,exists
O15084,1053,exists,exists
O15091,583,exists,exists
O15116,133,exists,exists
O15121,323,exists,exists
O15143,372,exists,exists
O15144,300,exists,exists
O15145,178,exists,exists
O15160,346,exists,exists
O15162,318,exists,exists
O15173,223,exists,exists
O15212,129,exists,exists
O15213,610,exists,exists
O15226,690,exists,exists
O15260,269,exists,exists
O15269,473,exists,exists
O15270,562,exists,exists
O15294,1046,exists,exists
O15305,246,exists,exists
O15355,546,exists,exists
O15357,1258,exists,exists
O15371,548,exists,exists
O15372,352,exists,exists
O15400,261,exists,exists
O15479,319,exists,exists
O15498,198,exists,exists
O15541,343,exists,exists
O15554,427,exists,exists
O43148,476,exists,exists
O43156,1089,exists,exists
O43172,522,exists,exists
O43175,533,exists,exists
O43181,175,exists,exists
O43242,534,exists,exists
O43252,624,exists,exists
O43264,779,exists,exists
O43290,800,exists,exists
O43292,621,exists,exists
O43310,598,exists,exists
O43314,1243,exists,exists
O43318,606,exists,exists
O43324,174,exists,exists
O43345,1280,exists,exists
O43347,362,exists,exists
O43353,540,exists,exists
O43390,633,exists,exists
O43395,683,exists,exists
O43396,289,exists,exists
O43399,206,exists,exists
O43427,364,exists,exists
O43491,1005,exists,exists
O43505,415,exists,exists
O43513,233,exists,exists
O43583,198,exists,exists
O43592,962,exists,exists
O43598,174,exists,exists
O43615,452,exists,exists
O43660,514,exists,exists
O43663,620,exists,exists
O43670,478,exists,exists
O43674,189,exists,exists
O43677,76,exists,exists
O43681,348,exists,exists
O43707,911,exists,exists
O43716,136,exists,exists
O43719,755,exists,exists
O43739,400,exists,exists
O43747,822,exists,exists
O43752,255,exists,exists
O43765,313,exists,exists
O43768,121,exists,exists
O43776,548,exists,exists
O43795,1136,exists,exists
O43805,119,exists,exists
O43809,227,exists,exists
O43818,475,exists,exists
O43823,692,exists,exists
O43837,385,exists,exists
O43861,1147,exists,exists
O43896,1103,exists,exists
O43913,435,exists,exists
O60216,631,exists,exists
O60239,455,exists,exists
O60244,1454,exists,exists
O60264,1052,exists,exists
O60271,1321,exists,exists
O60287,2271,exists,exists
O60293,1989,exists,exists
O60306,1485,exists,exists
O60313,960,exists,exists
O60333,1816,exists,exists
O60341,852,exists,exists
O60343,1298,exists,exists
O60437,1756,exists,exists
O60443,496,exists,exists
O60493,162,exists,exists
O60502,916,exists,exists
O60503,1353,exists,exists
O60518,1105,exists,exists
O60524,1076,exists,exists
O60547,372,exists,exists
O60563,726,exists,exists
O60566,1050,exists,exists
O60568,738,exists,exists
O60610,1272,exists,exists
O60678,531,exists,exists
O60701,494,exists,exists
O60716,968,exists,exists
O60739,113,exists,exists
O60762,260,exists,exists
O60763,962,exists,exists
O60826,627,exists,exists
O60828,265,exists,exists
O60832,514,exists,exists
O60841,1220,exists,exists
O60869,148,exists,exists
O60870,393,exists,exists
O60884,412,exists,exists
O60885,1362,exists,exists
O60888,179,exists,exists
O60921,280,exists,exists
O60925,122,exists,exists
O60934,754,exists,exists
O75027,752,exists,exists
O75063,409,exists,exists
O75083,606,exists,exists
O75094,1523,exists,exists
O75116,1388,exists,exists
O75127,700,exists,exists
O75131,537,exists,exists
O75143,517,exists,exists
O75145,1194,exists,exists
O75146,1068,exists,exists
O75150,1001,exists,exists
O75152,810,exists,exists
O75153,1309,exists,exists
O75155,1236,exists,exists
O75157,780,exists,exists
O75165,2243,exists,exists
O75175,753,exists,exists
O75179,2603,exists,exists
O75190,326,exists,exists
O75191,536,exists,exists
O75208,318,exists,exists
O75223,188,exists,exists
O75306,463,exists,exists
O75312,459,exists,exists
O75323,286,exists,exists
O75330,724,exists,exists
O75334,1257,exists,exists
O75347,108,exists,exists
O75348,118,exists,exists
O75351,444,exists,exists
O75368,114,exists,exists
O75380,124,exists,exists
O75390,466,exists,exists
O75391,227,exists,exists
O75400,957,exists,exists
O75410,805,exists,exists
O75419,566,exists,exists
O75420,1035,exists,exists
O75436,327,exists,exists
O75439,489,exists,exists
O75446,220,exists,exists
O75448,989,exists,exists
O75459,146,exists,exists
O75475,530,exists,exists
O75477,348,exists,exists
O75486,317,exists,exists
O75496,209,exists,exists
O75521,394,exists,exists
O75526,392,exists,exists
O75531,89,exists,exists
O75533,1304,exists,exists
O75534,798,exists,exists
O75554,376,exists,exists
O75643,2136,exists,exists
O75663,272,exists,exists
O75665,1012,exists,exists
O75674,476,exists,exists
O75683,361,exists,exists
O75694,1391,exists,exists
O75695,350,exists,exists
O75717,1129,exists,exists
O75718,401,exists,exists
O75746,678,exists,exists
O75787,350,exists,exists
O75792,299,exists,exists
O75794,336,exists,exists
O75818,363,exists,exists
O75821,320,exists,exists
O75822,258,exists,exists
O75832,226,exists,exists
O75844,475,exists,exists
O75934,225,exists,exists
O75937,253,exists,exists
O75940,238,exists,exists
O75947,161,exists,exists
O75964,103,exists,exists
O76003,335,exists,exists
O76021,490,exists,exists
O76094,671,exists,exists
O94760,285,exists,exists
O94776,668,exists,exists
O94804,968,exists,exists
O94822,1766,exists,exists
O94826,608,exists,exists
O94874,794,exists,exists
O94888,489,exists,exists
O94906,941,exists,exists
O94925,669,exists,exists
O94966,1318,exists,exists
O94979,1220,exists,exists
O94992,359,exists,exists
O95049,919,exists,exists
O95070,293,exists,exists
O95081,481,exists,exists
O95104,1147,exists,exists
O95140,757,exists,exists
O95155,1302,exists,exists
O95163,1332,exists,exists
O95166,117,exists,exists
O95182,113,exists,exists
O95197,1032,exists,exists
O95202,739,exists,exists
O95218,330,exists,exists
O95232,432,exists,exists
O95235,890,exists,exists
O95251,611,exists,exists
O95267,797,exists,exists
O95295,136,exists,exists
O95299,355,exists,exists
O95319,508,exists,exists
O95347,1197,exists,exists
O95361,564,exists,exists
O95363,451,exists,exists
O95373,1038,exists,exists
O95376,493,exists,exists
O95379,198,exists,exists
O95394,542,exists,exists
O95433,338,exists,exists
O95453,639,exists,exists
O95456,288,exists,exists
O95466,1100,exists,exists
O95470,568,exists,exists
O95478,260,exists,exists
O95487,1268,exists,exists
O95573,720,exists,exists
O95602,1720,exists,exists
O95619,227,exists,exists
O95630,424,exists,exists
O95674,445,exists,exists
O95684,399,exists,exists
O95707,220,exists,exists
O95721,258,exists,exists
O95749,300,exists,exists
O95782,977,exists,exists
O95801,387,exists,exists
O95816,211,exists,exists
O95819,1239,exists,exists
O95831,613,exists,exists
O95861,308,exists,exists
O95900,331,exists,exists
O95922,423,exists,exists
O95985,862,exists,exists
O96005,669,exists,exists
P00367,558,exists,exists
P00374,187,exists,exists
P00390,522,exists,exists
P00414,261,exists,exists
P00441,154,exists,exists
P00491,289,exists,exists
P00505,430,exists,exists
P00533,1210,exists,exists
P00558,417,exists,exists
P00966,412,exists,exists
P02545,664,exists,exists
P02786,760,exists,exists
P02794,183,exists,exists
P04040,527,exists,exists
P04075,364,exists,exists
P04080,98,exists,exists
P04179,222,exists,exists
P04181,439,exists,exists
P04183,234,exists,exists
P04406,335,exists,exists
P04632,268,exists,exists
P04792,205,exists,exists
P04818,313,exists,exists
P04843,607,exists,exists
P04844,631,exists,exists
P04920,1241,exists,exists
P05026,303,exists,exists
P05114,100,exists,exists
P05141,298,exists,exists
P05187,535,exists,exists
P05198,315,exists,exists
P05387,115,exists,exists
P05388,317,exists,exists
P05455,408,exists,exists
P05556,798,exists,exists
P05783,430,exists,exists
P06213,1382,exists,exists
P06280,429,exists,exists
P06454,111,exists,exists
P06576,529,exists,exists
P06733,434,exists,exists
P06737,847,exists,exists
P06744,558,exists,exists
P06748,294,exists,exists
P06753,285,exists,exists
P07099,455,exists,exists
P07195,334,exists,exists
P07237,508,exists,exists
P07305,194,exists,exists
P07311,99,exists,exists
P07339,412,exists,exists
P07384,714,exists,exists
P07737,140,exists,exists
P07741,180,exists,exists
P07814,1512,exists,exists
P07858,339,exists,exists
P07910,306,exists,exists
P07942,1786,exists,exists
P07954,510,exists,exists
P08047,785,exists,exists
P08133,673,exists,exists
P08174,381,exists,exists
P08183,1280,exists,exists
P08240,638,exists,exists
P08243,561,exists,exists
P08397,361,exists,exists
P08559,390,exists,exists
P08621,437,exists,exists
P08651,508,exists,exists
P08708,135,exists,exists
P08865,295,exists,exists
P09001,348,exists,exists
P09012,282,exists,exists
P09038,288,exists,exists
P09132,144,exists,exists
P09211,210,exists,exists
P09234,159,exists,exists
P09382,135,exists,exists
P09496,248,exists,exists
P09543,421,exists,exists
P09622,509,exists,exists
P09661,255,exists,exists
P09874,1014,exists,exists
P09884,1462,exists,exists
P09960,611,exists,exists
P0C7P0,127,exists,exists
P0C7P4,283,exists,exists
P0CG48,685,exists,exists
P0DJ07,73,exists,exists
P0DMU7,189,exists,exists
P0DPB6,133,exists,exists
P10155,538,exists,exists
P10321,366,exists,exists
P10515,647,exists,exists
P10606,129,exists,exists
P10620,155,exists,exists
P10644,381,exists,exists
P10768,282,exists,exists
P10809,573,exists,exists
P10909,449,exists,exists
P11047,1609,exists,exists
P11117,423,exists,exists
P11166,492,exists,exists
P11172,480,exists,exists
P11177,359,exists,exists
P11233,206,exists,exists
P11310,421,exists,exists
P11387,765,exists,exists
P11413,515,exists,exists
P11498,1178,exists,exists
P11717,2491,exists,exists
P11766,374,exists,exists
P11831,508,exists,exists
P11908,318,exists,exists
P12004,261,exists,exists
P12081,509,exists,exists
P12107,1806,exists,exists
P12268,514,exists,exists
P12270,2363,exists,exists
P12694,445,exists,exists
P12955,493,exists,exists
P12956,609,exists,exists
P13010,732,exists,exists
P13051,313,exists,exists
P13073,169,exists,exists
P13284,250,exists,exists
P13489,461,exists,exists
P13639,858,exists,exists
P13667,645,exists,exists
P13674,534,exists,exists
P13693,172,exists,exists
P13797,630,exists,exists
P13804,333,exists,exists
P13807,737,exists,exists
P13984,249,exists,exists
P13987,128,exists,exists
P13995,350,exists,exists
P14174,115,exists,exists
P14209,185,exists,exists
P14314,528,exists,exists
P14317,486,exists,exists
P14324,419,exists,exists
P14550,325,exists,exists
P14625,803,exists,exists
P14635,433,exists,exists
P14678,240,exists,exists
P14735,1019,exists,exists
P14854,86,exists,exists
P14866,589,exists,exists
P14868,501,exists,exists
P15056,766,exists,exists
P15311,586,exists,exists
P15328,257,exists,exists
P15374,230,exists,exists
P15408,326,exists,exists
P15529,392,exists,exists
P15531,152,exists,exists
P15559,274,exists,exists
P15735,406,exists,exists
P15880,293,exists,exists
P15927,270,exists,exists
P16070,742,exists,exists
P16152,277,exists,exists
P16278,677,exists,exists
P16401,226,exists,exists
P16435,677,exists,exists
P16591,822,exists,exists
P16615,1042,exists,exists
P16989,372,exists,exists
P17096,107,exists,exists
P17252,672,exists,exists
P17480,764,exists,exists
P17568,137,exists,exists
P17612,351,exists,exists
P17676,345,exists,exists
P17812,591,exists,exists
P17987,556,exists,exists
P18031,435,exists,exists
P18074,760,exists,exists
P18077,110,exists,exists
P18124,248,exists,exists
P18206,1134,exists,exists
P18583,2426,exists,exists
P18621,184,exists,exists
P18669,254,exists,exists
P18754,421,exists,exists
P18858,919,exists,exists
P19174,1290,exists,exists
P19338,710,exists,exists
P19367,917,exists,exists
P19404,249,exists,exists
P19440,569,exists,exists
P19525,551,exists,exists
P19532,575,exists,exists
P20042,333,exists,exists
P20226,339,exists,exists
P20290,206,exists,exists
P20585,1137,exists,exists
P20618,241,exists,exists
P20645,277,exists,exists
P20674,150,exists,exists
P20810,708,exists,exists
P21127,795,exists,exists
P21266,225,exists,exists
P21281,511,exists,exists
P21283,382,exists,exists
P21291,193,exists,exists
P21912,280,exists,exists
P21926,228,exists,exists
P21953,392,exists,exists
P21964,271,exists,exists
P22033,750,exists,exists
P22059,807,exists,exists
P22087,321,exists,exists
P22090,263,exists,exists
P22102,1010,exists,exists
P22234,425,exists,exists
P22307,547,exists,exists
P22314,1058,exists,exists
P22413,925,exists,exists
P22695,453,exists,exists
P22830,423,exists,exists
P23142,703,exists,exists
P23193,301,exists,exists
P23229,1130,exists,exists
P23246,707,exists,exists
P23381,471,exists,exists
P23396,243,exists,exists
P23497,879,exists,exists
